[839220674] === practical seek comparison ===
[839220674] --- Starling | length 410.04 | 8 seeks of +10
[839220678] Starling seek 1 | +10 to 14.0 | cost 3ms
[839220680] Starling seek 2 | +10 to 26.0 | cost 10ms
[839220682] Starling seek 3 | -10 to 18.1 | cost 10ms
[839220684] Starling seek 4 | +10 to 30.1 | cost 3ms
[839220686] Starling seek 5 | +10 to 42.1 | cost 8ms
[839220688] Starling seek 6 | -10 to 34.1 | cost 4ms
[839220690] Starling seek 7 | +10 to 46.2 | cost 11ms
[839220692] Starling seek 8 | +10 to 58.2 | cost 20ms
[839220692] RESULT Starling  avg 8ms  worst 20ms  underruns 0
[839220692] --- kicooya | length 258.90 | 8 seeks of +10
[839220696] kicooya seek 1 | +10 to 14.0 | cost 5ms
[839220698] kicooya seek 2 | +10 to 26.1 | cost 6ms
